 ids captions
 730 "a young people are on a stage in a street "
 731 "a woman is a a kitchen on a kitchen "
 732 "a cat is held on a table "
 733 "a man with a glass into a glass into a glass door "
 734 "a man is walking at a daytime "
 735 "a dog is wearing a red and and a pink and is shown "
 736 "a person on a of a "
 737 "a man is to a person "
 738 "a young man is dancing to a music in a room "
 739 "a young man wearing red jacket and black and is singing "
 740 "a man in a crowd of a woman in a "
 741 "on a living room one young white dog with a brown and one sitting on "
 742 "two men are in a classroom one one with black and one black shirt and "
 743 "in a crowd of people in a red and is "
 744 "a young woman in a stage in a room "
 745 "a car on the road "
 746 "a on a street at a street at night "
 747 "a man is jumping on a of a wall with a wall it it it "
 748 "outside a large a young boy is a a boy "
 749 "a man in a classroom to the the of a person in a table "
 750 "a group of people are riding a basketball and a person is down the "
 751 "a man on a field a man in a field and a player is running "
 752 "a young men are on a street in a of two of one are down "
 753 "a young man is walking into the street of a man "
 754 "a woman with a red shirt and a white is dancing on a stage "
 755 "a person is singing in a room "
 756 "a man is talking to a crowd "
 757 "a man in a car is riding a car "
 758 "a man is holding a red and a man in a red "
 759 "a group of people are a a young asian people with a red shirt is "
 760 "a young woman is a a dog in a room "
 761 "a woman in a kitchen a woman is eating at a kitchen "
 762 "a man in a white shirt and a woman "
 763 "a person on a snow at a snow at a snow and one with red "
 764 "a person on a water "
 765 "a young man is talking to a tv show "
 766 "a woman in a kitchen a black man in a red shirt and black pulls "
 767 "a young man wearing a white shirt is talking to the the "
 768 "a young men is sitting in the classroom when the other "
 769 "a man is outdoors at daytime "
 770 "a man in a red in a red and red and white man "
 771 "a man on a stage is dancing on stage "
 772 "a white is holding a bathtub "
 773 "a young man wearing a black shirt is is talking to the day of the "
 774 "a young man with a green top of a roof jumps from the hole "
 775 "a man in a snow in a snow and a snow "
 776 "a young man is dancing in a street with a building "
 777 "a young man wearing a green shirt and a white shirt and a white girl "
 778 "a boy on a green a boy in a green field "
 779 "a man is in a car and a car is doing the "
 780 "a woman is walking in a street "
 781 "a woman on a stage "
 782 "a young man wearing white shirt and white shirt walks by a wall "
 783 "a basketball player in a ball and the ball in the air in the gym "
 784 "a black woman with a green shirt is holding a large "
 785 "a young asian woman in a microphone in a room "
 786 "video of a person with a phone "
 787 "a group of people are dancing in a group of a group of young asian "
 788 "a young asian boy outside outside a of of a young asian is talking to "
 789 "a japanese woman wearing a white shirt is dancing in a room "
 790 "a water in a "
 791 "man on a stage "
 792 "a woman is singing on a stage with a black is singing singing "
 793 "in a room with a young asian boy with a red and is is talking "
 794 "a person is on a stage "
 795 "a man wearing a black shirt is talking to a "
 796 "a young man wearing a red shirt and a man is standing in the of "
 797 "a man with long hair with a black is talking to the camera "
 798 "a person is jumping on a of of a of two men are "
 799 "a woman is talking to the camera in a room "
 800 "a young asian man is by a large and is by a person is singing "
 801 "a man is down a water and a man and it it it it it "
 802 "a woman sits in a chair at a chair and falls down the day "
 803 "a young young man wearing a red and white pants are walking on a street "
 804 "a man dressed in a red dress with a dress is dancing "
 805 "a group of people are on a stage "
 806 "outside in a grassy of a dog is to a fence "
 807 "a young woman is standing on a stage with a stage "
 808 "a man in a city street in a city "
 809 "a young man is singing in a stage "
 810 "a man is a a in a of a "
 811 "a person in a kitchen a woman is "
 812 "a person is running in a street at the "
 813 "a man in a white shirt and a white jumps with a house "
 814 "a a ball is running at daytime "
 815 "a woman is holding a on a a and a young man is singing and "
 816 "a man is in a room "
 817 "a person in a city of a building and a building and a building and "
 818 "a person is jumping into the daytime "
 819 "a young man wearing a red shirt and red and are standing on the side "
 820 "a man in a running at a "
 821 "a person is down a ball with a ball "
 822 "a black man with a black and is by a "
 823 "a young man wearing a white shirt and walking the the of the the day "
 824 "a young man wearing a black jacket and a black is dancing in a room "
 825 "a man is by a young man with a room "
 826 "a black and white shirt is holding a man "
 827 "three young men dressed in a black and a white is singing "
 828 "a person on a toy "
 829 "a young men in a black and is dancing in the air in the air "
 830 "a white man wearing white shirt and white shirt is talking at a table "
 831 "a boy is talking to a young girl in a "
 832 "a young man is jumping into a of water of water of water "
 833 "in a street a group of people in a street "
 834 "a man on a stage in a "
 835 "a woman is singing "
 836 "a and and white and a white and a one who is running "
 837 "a man is into a bottle and a and and and then and then falls "
 838 "a man in a white and dressed in a white shirt with a blue is "
 839 "a group of men in a city in the street in the street "
 840 "a man is outdoors at daytime "
 842 "two young women are down a beach "
 843 "in a crowd of people are in a stage "
 844 "a woman is in a room "
 845 "a woman outdoors at daytime "
 846 "a football player in a red and is is "
 847 "a young man wearing a white shirt and sunglasses is on a outside on a "
 848 "a man in a red and is dancing in a room "
 849 "a man wearing a green shirt and a ball on a ball on a field "
 850 "a woman is talking to a at daytime "
 851 "a group of people are dancing in a room "
 852 "a boy in a baby and a woman is dancing to music "
 853 "a young man is talking to a room "
 854 "a man in a room in a room "
 855 "a man on a a car on a car on a road "
 856 "a black man is in a room "
 857 "a boy wearing a red shirt and red shirt and his head and then falls "
 858 "a black man is over a fence at a fence "
 859 "on a stage with red and white white is singing a red is singing "
 860 "a a cat with a cat and a plastic and falls on a "
 861 "in a room a young man in a black man with a black man is "
 862 "a video of a young is is shown a a brown and is standing "
 863 "a young red and red and red and a red in a parking lot "
 864 "a person is on a "
 865 "a group of people are walking in a side "
 866 "a black man in a black and a black and black black and a black "
 867 "a woman in a blue of a blue dress is dancing "
 868 "a man is talking to a table and woman with a woman who is talking "
 869 "a person is is over a mountain on a track "
 870 "a group of people are dancing on a stage "
 871 "a young man is talking to a camera in a room "
 872 "a man wearing red shirt and red and red "
 873 "a on a green of a green of a green and are jumping and a "
 874 "a boy in a in a room a a boy in a room "
 875 "a man wearing a red shirt and white shirt and "
 876 "a person is jumping on a snow "
 877 "a young man wearing a black is is to a and and them them "
 878 "a black and wearing a white shirt is in a room in a room "
 879 "a group of people are dancing in a room "
 880 "a man is jumping at a door at daytime "
 881 "a is making a moving and people are talking to the music while one with "
 882 "a baby lying on a floor and baby and her "
 883 "a young man is running in the of a large of people dancing in a "
 884 "in a room a young asian man in a white black white shirt and white "
 885 "two men are dancing and one and one while singing while one singing "
 886 "a baby sitting on a chair and is sitting on a room "
 887 "a man is driving driving car and the car "
 888 "a group of young asian men in a stage "
 889 "a young woman in a kitchen in a room with a red shirt is talking "
 890 "a black black black in a black and is dancing in the daytime "
 891 "a woman is a a a woman on a stage "
 892 "a group of people are walking in front of a crowd "
 893 "a man is walking on a street at a street "
 894 "a woman is at a table with a glass and a girl with a red "
 895 "two men are playing a other "
 896 "a man is outdoors at a woman outdoors at daytime "
 897 "a man is down a water in a of a man "
 898 "man wearing a car is singing on a car "
 899 "a man in a red shirt and white man is shown and "
 900 "man wearing a man is walking on a street "
 901 "a man is shown in a room "
 902 "a of a young asian woman in a red and is is by a the "
 903 "a man is walking in a street and is is shown "
 904 "a white cat is on a water at daytime "
 905 "a hand of a glass in a glass in a glass "
 906 "a man is by a tree "
 907 "a young man is driving a car and driving a car "
 908 "a man on a street "
 909 "a man in a street in a street "
 910 "a young asian is walking on a and "
 911 "a man on a on a of a wall and it but it "
 912 "a woman is shown in a room with a room with a person is by "
 913 "a woman with a woman "
 914 "a baby sits on a floor of a dog is "
 915 "a person is into the "
 916 "a goat and and black and then the "
 917 "a cat in a room "
 918 "a person on a pool jumps jumps into the pool and jumps jumps falls falls "
 919 "a baby is lying on a "
 920 "a young man wearing a red shirt and white white shirt and white white male "
 921 "a group of people dancing in a room "
 922 "a man wearing a red shirt is driving a car and down on a road "
 923 "a track a a track at the day and the the "
 924 "a boy in a room with a room "
 925 "a man is holding a red and in a red shirt "
 926 "a young man is talking to a table in a room "
 927 "a man is into a ball into a "
 928 "a man is from a computer on a table on a table is is shown "
 929 "a boy with a table with a table with a table with a red shirt "
 930 "a man wearing a red shirt and a black is is being a a man "
 931 "persons on a "
 932 "four people are running on a street at daytime "
 933 "man in a in a man in a green "
 934 "a person is being on a tv show "
 935 "a young girl is in a water in a "
 936 "a man in a red dress in a red is is dancing in a room "
 937 "a young man with a is is sitting on a sofa and a sofa and "
 938 "a man talking at a room "
 939 "a basketball player is the the of the "
 940 "a man jumps into the of of a man jumps into the daytime "
 941 "a dog and white cat and a ball "
 942 "a group of people are on a street "
 943 "asian young asian men in a stage with a black "
 944 "a young man wearing a white shirt and a white shirt with a green shirt "
 945 "a man in a room with a young man is singing and the the falls "
 946 "a man in a green shirt and a tree tree "
 947 "a of is is running on a road and and falls on the road "
 948 "a young people are walking in a crowd of a young people "
 949 "a young asian boy is playing a indoors "
 950 "a man is being and something on a tv show "
 951 "a young boy wearing a red shirt and a ball on a table with a "
 952 "in a group of two girls are dancing in a group of people are are "
 953 "in a room a man with a red and white hat is singing "
 954 "a boy sitting at daytime "
 956 "a woman on a stage and a woman is singing the the of the day "
 957 "a young man is dancing in a street at daytime "
 958 "a woman wearing a white shirt and a black is dancing on a wall "
 959 "a young black men in a black in a wall wall the wall "
 960 "group of people are on stage on a stage "
 961 "a woman is a a woman with a black and then then then then "
 962 "two people are dancing in a room in a room one is is talking to "
 963 "a group of a young asian women with a pink "
 964 "man wearing red shirt shirt and red shirt and red shirt and over "
 965 "a dog is in a room of a room "
 966 "a group of people are dancing in a room "
 967 "a man is hit by a car by a car by it "
 968 "a group of people dancing on a stage "
 969 "a group of people are walking in a street and people are standing at the "
 970 "crowd of people in a crowd of a "
 971 "a young asian man on a door and the the "
 972 "a young boy in a red shirt and blue shirt and a red "
 973 "in a room a young man runs down the the of the the of a "
 974 "a girl is down a table "
 975 "a young man in a room a black man wearing a black shirt and jeans "
 976 "a person is jumping on a street and a person "
 977 "a young woman is a a table "
 978 "a man is in a room "
 979 "a young woman with a ball and the air and the air "
 980 "a small of a room with a and is standing on a table at a "
 981 "a little boy in a bedroom a white is is "
 982 "a girl into a room and a is jumping into a room "
 983 "a man wearing a green shirt and a man is walking on a street "
 984 "a large large white girl in a white and white black and black black is "
 985 "a man in a large shirt and a man is standing on a door of "
 986 "a person with a yellow and is is his and is is and the the "
 987 "two men are in a table "
 988 "man in a backyard shirt and over a man jumps over it "
 989 "a young man in a red shirt and a white is with a tree with "
 990 "a women in a red and is dancing "
 991 "a young man wearing a dark shirt and a black shirt is dancing on a "
 992 "a man is standing at a "
 993 "a man is around a ball "
 994 "a dog is running on a daytime "
 995 "two men are dancing in a field "
 996 "a little boy is sitting in a baby is sitting in a table "
 997 "a woman with a black and black black is dancing a a man "
 998 "a black man in a red shirt and is is shown at the daytime "
 999 "a group of people are holding a pool and a boy is a a boy "
